,image_name,label
0,7286452638945401453,3
1,665749611408806501,3
2,8884203645618094676,3
3,7170902470837723079,3
4,4459154788994315017,3
5,4243165194226932777,3
6,3562393374205293447-,3
7,5697157933517111106-,3
8,4290676341512636584-,3
9,7955936959577012019-,3
10,331293893057024560,3
11,1116487756372714360,3
12,985549239569211053-,3
13,1781761262068294113-,3
14,7376801941059133751,3
15,8046552359827849668-,3
16,1788406216446600686-,3
17,2769766493169351918-,3
18,593295583656901231,3
19,542868588035640759-,3
20,2448182051969377768,3
21,5726803901875748672,3
22,7156270918003405255-,3
23,4165605841725357944,3
24,3587650272956281913-,3
25,1416978409702896031-,3
26,2248899620055463583-,3
27,2293029208057707859,3
28,5607110501285647231,3
29,8572142701745842797,3
30,3219424914132412879,3
31,5556269795360334697,3
32,1869964531049052476-,3
33,7497968488580485221,3
34,479500894309662480,3
35,7807455735561547021,3
36,9048938202190222814-,3
37,236278391084535512-,3
38,2752617353386607038-,3
39,6066247649135204558,3
40,1988181579333221778,3
41,8918501284888589458-,3
42,377571000948624844,3
43,4276866159830955416,3
44,8222276239608600498,3
45,5382821703439779396-,3
46,2172275773947036283-,3
47,3899662732102311891,3
48,5215646090351228152,3
49,2245186942319791705,3
50,4158387965523760823,3
51,6224224897669654528,3
52,6395207416267318882-,3
53,4526956397797664103-,3
54,8204764961663759818,3
55,5768824308369969014,3
56,5051475663347550566-,3
57,7536443410745748030,3
58,270813752288807289-,3
59,201091523352893067,3
60,246770231011941846-,3
61,3757806209943979829,3
62,2884347590652316423-,3
63,1287042995236310613,3
64,2453517150540682646,3
65,4016025307613951802,3
66,4401623784290366606-,3
67,8602591143371409407,3
68,7214998087384759805,3
69,7351293371877697934-,3
70,3458126034455727421,3
71,8720943234180733094-,3
72,3482865955271109632-,3
73,8245392089749707265-,3
74,2670283770577702082-,3
75,4103507452935046494,3
76,4952318836081395357-,3
77,4579988289923910397-,3
78,133828652396493918,3
79,4099971203661450985-,3
80,875949504455291149,3
81,1976153874670227674-,3
82,4896300179759274307-,3
83,6965118920992934761,3
84,1854138312092653727-,3
