,image_name,label
0,2211715775938573734-,2
1,5633834583699996966-,2
2,507133575279063970-,2
3,8356632665129726436-,2
4,2662486872295894767-,2
5,3367382219895885741-,2
6,1374927643294073472,2
7,8875400645659198885-,2
8,2547067970786036792-,2
9,141437247606885449,2
10,3804830647732698340-,2
11,8371653606168574371-,2
12,4499130530817641032,2
13,8929493542917403717,2
14,876813603264552107,2
15,3183129118994610986,2
16,6630347733927388131,2
17,8764032080108318796-,2
18,2778149777730111012-,2
19,4592706518242677524,2
20,8183808440062004658-,2
21,3326896705230849079-,2
22,2533327755470973724-,2
23,8941438938870927110,2
24,4943534164329347325,2
25,4534364598898499796,2
26,3494611047404005219,2
27,598914620754686833,2
28,3376739989487636457-,2
29,2988714399430769364-,2
30,5974956007445611673,2
31,4655704575704601569,2
32,2803558042840914493,2
33,311054108427099277-,2
34,4307198567055647374,2
35,1573828319654175458-,2
36,7365731754983485058,2
37,3465885852583240754,2
38,8767152036363854749-,2
39,8145824714303691716,2
40,733869281541946444,2
41,4103023788524773222,2
42,1849771319352373523,2
43,7404805910871986365-,2
44,4314552751396712891-,2
45,4226936571591432750-,2
46,3504257396126466189-,2
47,8016516801316993480-,2
48,2440063728787179334-,2
49,4186232022371282457,2
50,6733210817889532340,2
51,7472875467745649114,2
52,8591865284751410149,2
53,1947438920383923132,2
54,752942810103219194-,2
55,5178948821518487681,2
56,5347375825473896759,2
57,992658453255020426,2
58,6413951476649262602-,2
59,3813975565606714407-,2
60,1673039371330094847-,2
61,8537972593435401626,2
62,5285868219010262806-,2
63,8015354233371871589-,2
64,2969829464367966046-,2
65,1053969405511051685,2
66,521986872180497089-,2
67,661284943791039808-,2
68,6035509327166467013,2
69,738951459351785436,2
70,4731784012466591007-,2
71,2871843647503711219,2
72,9119883250204942629,2
73,8306673651461763632-,2
74,1646263348587883950-,2
75,6846177761797652676,2
76,5662392935204328696,2
77,1455622941989937110-,2
78,5276180922930819622-,2
79,6217530623150885877,2
80,3630952692907199898-,2
81,3574243965839903975-,2
82,8596544104666190887,2
83,6550473398609493208,2
84,1462000176899353561-,2
85,4426294090641907966-,2
86,2388672004196885308-,2
87,2658431296430895427,2
88,5646127188951965304,2
89,8708113538847775494-,2
90,3618349065390803645-,2
91,1940191087052590481,2
92,2656611569650856066-,2
93,208761465510801336-,2
94,1780029412782045217,2
95,1495826510141315400-,2
96,3130794201431047089,2
97,6987258531320488197,2
98,3560498314403503003,2
99,7977641881864692637,2
100,8332860930223776401,2
101,2888552535312066387-,2
102,5088143113491640202-,2
103,6311263305244476661-,2
104,41883875002501566,2
105,2130951555882182126,2
106,8604118435513333200,2
107,7330763848394975210,2
108,7938823780022733970-,2
109,9014263117984401631,2
110,8123290428002209519-,2
111,6846889404396892555,2
112,1022802835378986718-,2
113,2325784299495755574,2
114,5175467621704748521,2
115,2605955498953404779-,2
116,6953504855146389552,2
117,5362596219143538708,2
118,4126379455358690964-,2
119,8665462917247748073,2
120,2744184211837423454-,2
121,8637577716608199025-,2
122,7344791759522684717-,2
123,6454152427266290452,2
124,694949937947740077,2
125,3532856168343794745,2
126,8054201923095078198-,2
127,522494495954568579,2
128,8453033135095514738-,2
129,1803288132471239714,2
130,2614138913934264385-,2
131,5495217124419616217,2
132,840800107822842487,2
133,7419792727456963090,2
134,8958835745308123936-,2
135,2908911386851332646,2
136,7068764098709866489-,2
137,2577525881215416138-,2
138,9207633518329641270-,2
139,1236980887787149806-,2
140,5749777045848190483-,2
141,1000150891600478781-,2
142,609699488995808495,2
143,6734409716078727401,2
144,1816378627805066904-,2
