,image_name,label
0,7983028864910384784,9
1,5859941536772268493,9
2,3750707133738684159,9
3,2918686509353853328,9
4,7246339148684905164-,9
5,356238519048054846,9
6,4454034720296285219,9
7,803921979487206348-,9
8,1952961154046539856-,9
9,7711290666185336957-,9
10,2037068383034197258-,9
11,621562584342335150,9
12,8654616258191227121-,9
13,1727036879567030380-,9
14,5866909739052777951,9
15,5534338855491268898-,9
16,1345769162914805053,9
17,7177837973583688983,9
18,1967955873697169073,9
19,7788135383948352485,9
20,4036566192261218552-,9
21,8133724085564574888-,9
22,1150811004372763853-,9
23,3632279643071197824,9
24,2939201812643077253-,9
25,3979273713651503086-,9
26,5205841370995642982,9
27,7900345388967227635-,9
28,3634685552884933955-,9
29,3547939516678454613,9
30,7213957983764823422-,9
31,5604101916115586665,9
32,8013652818771675285-,9
33,713196001372830745,9
34,433928220590331895-,9
35,6305019773055802224,9
36,5201343917690908636-,9
37,1434291197306007396,9
38,7514227172654583251-,9
39,3754941411537504837-,9
40,6968983208344997313-,9
41,3326873132522049016,9
42,5200000417828581291,9
43,7840060951767530542-,9
44,1264058860737122053,9
45,8983979598100821945,9
46,2845811442112172154-,9
47,2047433162096243700,9
48,2232754906181955832-,9
49,6673953110721334572,9
50,2522427055795326625-,9
51,7110044158684626224-,9
52,8549593557849616983-,9
53,6759044097026269473,9
54,177090989260684321,9
55,8256547144542596742,9
56,923252647860749348,9
57,1327180915175679849-,9
58,3285921273455985776-,9
59,8500088461217811538,9
60,1080392068460641633,9
61,1273798923119961456,9
62,4390284905735252270,9
63,6928017036557074676,9
64,8104994893582434454-,9
65,7103086023334453223,9
66,1459990883918605248,9
67,4657396579748393954,9
68,590905978543089819-,9
69,4494128902613757295,9
70,1331832695242808634-,9
71,7559048140667232517-,9
72,4785999063494589879-,9
73,6461312300953968732,9
74,3828816670333102174-,9
75,8299182819465890410-,9
76,3076483175753317036-,9
77,7748358672184681663-,9
78,3791247922206524573,9
79,573338435369141719,9
80,6140355765230278061,9
81,7093916777151227967,9
82,3900121745293387213,9
83,4560854717936006952,9
84,7851293420955854334,9
85,5878916845351694692-,9
86,4088465455318391987,9
87,6401257789871203075-,9
88,9001482647887984348-,9
89,6678168299873912304,9
90,6314613995493008235,9
91,6665460129135884404-,9
92,5016126562093293974-,9
93,922696141044730803-,9
94,1740454522354683928,9
95,2439962275913348768,9
96,9112096903443681422,9
97,3576269048390705310,9
98,7720216006021670496-,9
99,8026974548627226815,9
100,542852519199770243,9
101,1961056136360867884-,9
102,2175041123598517886,9
103,1573185745991873342-,9
104,5211542326133996192-,9
105,8960451408872070655-,9
106,128942990420129098,9
107,7535243474218769255,9
108,1095445322319982859-,9
109,2876965780768280272-,9
110,2019331986831261629,9
111,1231325760515763064-,9
112,4338427201429167361,9
113,7950970298292368327,9
114,3338158879320349852,9
115,7434432559254639608-,9
116,4155533227359447228-,9
117,6437009182418940305-,9
118,4047901345123626614,9
119,3196854177599860977,9
120,7694216196765890944-,9
121,2768769814034066223-,9
122,6593620545620877809-,9
123,2234439812882687741-,9
124,4401753429194018918-,9
125,2973039635755462720,9
126,6534335193560687259-,9
127,6824806720190703937,9
128,6588709990315847022,9
129,6134458903952589762,9
130,8286788050950203284,9
131,4261879595541189459,9
132,7254330490371264242,9
133,7249228870420912398,9
134,2529873901054187811,9
135,6887351021148679789,9
136,2285889840510679086-,9
137,6844783664659884007,9
138,7389874119489221647-,9
139,2880862086053501017,9
140,3968105451004457429,9
141,3972416911038944940-,9
142,771462922206816044,9
143,2061690794323199796,9
144,7100726714966039624-,9
145,1332323750656496955,9
146,8755166348143088888,9
147,142133216721961049-,9
148,5303844389763654133-,9
149,1707461337618890815-,9
150,604398493094551189,9
151,9035786880704393120,9
152,2390690384537118452-,9
153,8919906448205313285-,9
154,2412919422322461451-,9
155,6769120035457603583-,9
156,7345332471204461283-,9
157,6304727074931240426,9
158,9102152051539286651,9
159,1968094971816054076-,9
160,3471510025227172762,9
161,6767172759113668967-00,9
162,176121823821260223400,9
163,3292490458283894103-00,9
164,597729816468525758-00,9
165,3637763125679845058-00,9
166,704474538582685763700,9
167,3567546848063630494-00,9
168,595117715269725269-00,9
169,156534389862287380300,9
170,157893266571380868500,9
171,952212640591048106-00,9
172,421739246469404823200,9
173,532511151152221075700,9
174,183102728831053686500,9
