,image_name,label
0,1156341043157324748,10
1,8693540740034738571,10
2,7889976661101473526-,10
3,731055870595314799-,10
4,1140378354834070319-,10
5,5112716539289767311,10
6,8382568532971608363,10
7,8683973614806098357,10
8,1889774078011762939-,10
9,1594615615485602055,10
10,6722327234036971315,10
11,3397136865190392533,10
12,2391644394269678557-,10
13,280596871027422232,10
14,4285553417529785171-,10
15,252447468978619231-,10
16,3776868778424142372,10
17,4361692684898149276-,10
18,3568917723923458770-,10
19,4505330223901040033,10
20,4263435280770955679-,10
21,7807039687291092498-,10
22,3784075554333613733-,10
23,2647762546977990576-,10
24,6462370282094694037-,10
25,7180437504126542291-,10
26,712851420082555328-,10
27,4573810195879985583,10
28,7673233058118078963,10
29,8803657161988606841,10
30,4020981814159884403,10
31,3717769612513024399,10
32,6400365120623307107-,10
33,6070294768491178711,10
34,1325428993491822921-,10
35,375039802183215915,10
36,680604670112554192-,10
37,1606803230103843882-,10
38,8411840576013913017-,10
39,4305052332220764634-,10
40,3749598282521265588,10
41,5591743946246246519-,10
42,4155953462357328445-,10
43,6633828096592056207,10
44,1315941737315122635,10
45,7437814433307624040,10
46,6952322495586435000,10
47,6307513562445963026-,10
48,1848123219915320829,10
49,2111043744070429950-,10
50,1361517065081701842-,10
51,3035614578196644275,10
52,6130207947601202908,10
53,7500419239790746461-,10
54,9067648302957448514,10
55,2225097252701119040-,10
56,4407137022446589724,10
57,4077708026194803473-,10
58,4302365241320788874-,10
59,657665625705218790,10
60,7223223823213543117-,10
61,5032332792740535329-,10
62,2087973069862155593-,10
63,5149746855920133960,10
64,4835685373318514579,10
65,4904223524248071058,10
66,6567464307480199708,10
67,1549180069642456910-,10
68,6828556872077427210,10
69,3580633833773286381,10
70,9140130020820149992-,10
71,1681560991245792013,10
72,6121655730986587962,10
73,2618762289107573750,10
74,9041455726502876508-,10
75,4014831488806693200,10
76,8001029293370665944,10
77,610664412280564692-,10
78,6330226991775969623-,10
79,6255345617644249671,10
80,5338411862036359707,10
81,7548096577315014654-,10
82,8990600457708443521-,10
83,660738162154117410-,10
84,3572622018665304975-,10
85,7936385686054508779-,10
86,8904403593327487117,10
87,3706254345416197105-,10
88,4442421729867637817-,10
89,4639886338995898450-,10
90,62544435290520787-,10
91,2557701284059687030,10
92,3410185233694106692,10
93,1452228386200308636,10
94,9012583176431736709,10
95,1165459121543729161-,10
96,2273764184592825753-,10
97,2864889673485921458,10
98,8606274848960866483,10
99,5109805702858695541-,10
100,1779675016506068412,10
101,1489272383558424131,10
102,8504594349246007216,10
103,5481213486728015200-,10
104,3507529227745306507,10
105,2272735892562697386-,10
106,2364663272925347616,10
107,8631586096593060490,10
108,6355253054980226708,10
109,944657760162740398-,10
110,309214821934671435-,10
111,2588464165758465504-,10
112,7626666853344729399,10
113,7876924002929518822-,10
114,3105928562641839923,10
115,6269825670611993161-,10
116,7041108600398268351,10
117,4226397389310510541-,10
118,7566187678077927171-,10
119,7645014878160021500-,10
120,1781294217773552986-,10
121,3628742988659137672,10
122,3080780582178409767,10
123,125361599125910500100,10
124,789363162893714753100,10
125,2620337359184517095-00,10
126,5926550630753662774-00,10
127,3757887500664528967-00,10
128,527742576592995575400,10
129,2420835991068041265-00,10
130,1129432537932352981-00,10
131,418806026096660228200,10
132,8275368119236483002-00,10
133,483062696436569039400,10
134,807972983380282677100,10
135,585384416585156818000,10
136,574431952675092013400,10
137,449842738082244429000,10
138,5168363368129795004-00,10
139,568157673984195192800,10
140,4239343391694281171-00,10
141,181102000656783656-00,10
142,199328368472329242700,10
143,379008149504342496300,10
144,477352499473822015500,10
145,499220044197681405400,10
146,427133702097370051900,10
147,575612296672301252-00,10
148,854318288791520913800,10
149,7665123414951474212-00,10
150,355011347979864230600,10
151,4994536622379552968-00,10
152,311480037355356853300,10
153,231343244160371418500,10
154,4584611003570482987-00,10
155,536057415827413859-00,10
156,107460998047061294300,10
157,576012991779491310300,10
158,399139144044191035-00,10
159,543390906904900913200,10
160,279951149513065339900,10
161,8238914620374850474-00,10
162,5230561562888311605-00,10
163,7098545392429524664-00,10
164,1806785602957358305-00,10
165,759654420441286919600,10
166,6141600121528291520-00,10
167,276235946376911432800,10
168,375603404653886092100,10
169,3799364134414277980-00,10
170,121737699557041433200,10
171,641673658522125579300,10
172,50466313641795396400,10
173,96915082617502477500,10
174,122971376122050590000,10
175,890102665038483547300,10
176,278289129947960684400,10
177,7988907756436012988-00,10
178,8201328902346768576-00,10
179,630512642964296712400,10
180,3351003406560404019-00,10
181,1096782464260717125-00,10
182,121966385401472259900,10
183,1634157024897853547-00,10
184,645816946977457441400,10
185,454311591345168296300,10
186,594515612339322169300,10
187,8062355216483995645-00,10
188,3583146212001863304-00,10
189,908565331497105493400,10
190,2511175945693209499-00,10
191,7799985668314362666-00,10
192,6812342422219072779-00,10
193,579118434590397373-00,10
194,207857615082729184000,10
195,4716703916901317565-00,10
196,575414851430723498000,10
197,182063751638108318300,10
198,699455209077009656-00,10
199,6171513795685694929-00,10
200,173038755092099824100,10
201,6143521635920262605-00,10
202,796324356821421206600,10
203,470818979257168887000,10
204,8334516208067853422-00,10
205,914550224045574481700,10
206,739933275255731530200,10
207,2075619316389023136-00,10
208,80460026205723396200,10
209,400162740776292510100,10
210,810136759224418304-00,10
211,1102012286591850363-00,10
212,598126567692729285400,10
213,17010769096118451900,10
214,848309521274780154600,10
215,837165096666931358400,10
216,476974107646392098800,10
217,625720718213284404200,10
218,6135362617154017108-00,10
219,580027450624765417300,10
220,311902910340958942100,10
221,2276503604852434357-00,10
222,122864182109252371100,10
223,7432082201603849105-00,10
224,1075863165465949621-00,10
225,252263302266775639700,10
226,44735601256262044400,10
227,718014036345204449-00,10
228,76863336158205823100,10
229,615319834512051159100,10
230,7759079285534314764-00,10
231,26474374496488578800,10
232,786252829076110089000,10
233,610746313255388555700,10
234,880068670608063520400,10
235,4772063681028206409-00,10
236,8568973316517741403-00,10
237,795705583274165763-00,10
238,796981320778428154300,10
239,89393994546570801-00,10
240,3835024419611695107-00,10
241,5482324652502302540-00,10
242,6975780404560290601-00,10
243,312382980491483228-00,10
244,434323333124589399400,10
245,4741583148862750169-00,10
246,6299122313235787500-00,10
247,8489707955993737576-00,10
248,7442436524850187240-00,10
249,8256381435062088741-00,10
250,7349726579840662773-00,10
251,1116424087911301369-00,10
252,6899606935787860922-00,10
253,685745382367971429600,10
254,3264156195223517452-00,10
255,2696891970780343713-00,10
256,5311916425796541232-00,10
257,798712101970131363100,10
258,6419545520970559106-00,10
259,2355190595196193436-00,10
260,357977898780052849100,10
261,1300927492420899200-00,10
262,873281330657761971000,10
263,296559811765535835600,10
264,61538619330222380800,10
265,3853183891120185424-00,10
266,881761128007572078100,10
267,358283507380268900400,10
268,7984553537016040259-00,10
269,459274461251408893800,10
270,884414375716991708300,10
271,231379887213694818900,10
272,390179012028057081000,10
273,6878696847112469513-00,10
274,645588169113790703400,10
275,955967640841897551-00,10
276,595386868193093547500,10
277,554300736628092361-00,10
278,8923398896072889911-00,10
279,4159591551656526177-00,10
280,528073631212916072600,10
281,547084484507614008300,10
282,828621836369079006200,10
283,71984615311803367200,10
284,203672347261801571900,10
285,657116806032818855-00,10
286,1486388624991771259-00,10
287,3949772500341716250-00,10
288,134794944875352430400,10
289,411907087375919220000,10
290,841141687578751639-00,10
291,838599914485479429000,10
292,4260227721416178532-00,10
293,2189684834302814487-00,10
294,277737553651812874500,10
295,4241961562071801384-00,10
296,429411571571341513000,10
297,4929812864786746517-00,10
298,621086290550539849600,10
299,1410824549707991148-00,10
300,5276186713015610118-00,10
301,3202757117007727325-00,10
302,851932257269717670400,10
